Var3;Var1;Var2;Var4;Var5
532;0,897196262;0,086092715;0;1
1162;0,31797235;0,825688073;0;2
148;0,776470588;0,242424242;0;3
116;0,033195021;0,99378882;0;4
2074;0,095833333;0,947867299;0;5
893;0,337662338;0,694444444;0;6
57;0,942307692;0,040697674;0;7
1483;1;0,034146341;1;8
2547;0,723404255;0,255319149;0;9
1498;0,916167665;0,049808429;0;10
1494;0,835164835;0,305343511;0;11
3197;0,157635468;0,860215054;0;12
1897;0,786476868;0,183486239;0;13
529;0,441025641;0,64516129;0;14
2573;0,88372093;0,059090909;0;15
2033;0,579234973;0,666666667;0;16
26;0,299625468;0,748826291;0;17
1067;0,331838565;0,598802395;0;18
408;0,979591837;0,044303797;0;19
452;0,860655738;0,091324201;0;20
1434;0,965517241;0,033492823;0;21
600;0,190031153;0,869565217;0;22
533;0,823129252;0,25;0;23
745;0,131578947;0,927152318;0;24
106;0,691588785;0,45;0;25
214;0,50273224;0,548876404;0;26
89;0,565714286;0,592592593;0;27
92;0,817391304;0,263157895;0;28
1065;1,024271845;0,004716981;1;29
1029;0,2421875;0,734693878;0;30
107;0,905579399;0,058035714;0;31
65;0,941605839;0,087837838;0;32
119;0,816608997;0,343347639;0;33
135;0,710659898;0,45;0;34
152;0,856603774;0,164609053;0;35
150;0,353333333;0,769230769;0;36
1789;0,512820513;0,579710145;0;37
2647;0,928853755;0,057268722;0;38
1469;0,423076923;0,776699029;0;39
5236;0,66894198;0,49382716;0;40
1305;0,767605634;0,265486726;0;41
1478;0,367924528;0,672268908;0;42
1236;0,221105528;0,851136364;0;43
9852;0,502463054;0,568720379;0;44
1245;0,177570093;0,805369128;0;45
2365;1,319838057;0,003271028;1;46
7854;1,070038911;0,033653846;1;47
1493;0,138888889;0,895522388;0;48
1025;0,686666667;0,436681223;0;49
1254;0,31884058;0,495867769;0;50
325;0,890909091;0,056277056;0;51
210;0,796666667;0,421052632;0;52
136;0,167539267;0,828402367;0;53
547;0,985576923;0,051470588;0;54
896;0,576086957;0,542986425;0;55
743;0,553459119;0,481927711;0;56
205;0,264214047;0,750887574;0;57
108;0,308943089;0,869565217;0;58
1093;0,586592179;0,375;0;59
2189;0,944615385;0,055555556;0;60
2360;0,561403509;0,520833333;0;61
3647;0,789968652;0,185185185;0;62
415;1,209876543;0,006493506;1;63
1058;0,35;0,78125;0;64
1036;0,34;0,8;0;65
1077;0,60952381;0,608695652;0;66
4452;0,826415094;0,35;0;67
4369;0,889830508;0,029896907;0;68
5129;0,64516129;0,4784689;0;69
3201;0,932515337;0,035532995;0;70
111;0,875;0,192307692;0;71
236;0,870503597;0,098484848;0;72
549;1,250909091;0,004405286;1;73
854;0,183783784;0,900900901;0;74
423;0,46350365;0,540540541;0;75
267;1,137254902;0;1;76
898;0,90625;0,116959064;0;77
521;0,858156028;0,094202899;0;78
21;0,710382514;0,476190476;0;79
133;0,34375;0,653061224;0;80
894;0,845614035;0,111111111;0;81
336;1,020725389;0,051094891;1;82
1858;0,403225806;0,743801653;0;83
528;0,691780822;0,392156863;0;84
511;0,634920635;0,36809816;0;85
137;0,85046729;0,204081633;0;86
1886;0,89047619;0,034653465;0;87
2;0,572289157;0,561797753;0;88
1437;0,605095541;0,533333333;0;89
69;0,838862559;0,096153846;0;90
1480;0,876923077;0,3;0;91
105;0,88852459;0,091743119;0;92
60;0,888888889;0,23255814;0;93
2590;0,929824561;0,076923077;0;94
471;0,632258065;0,519480519;0;95
2029;0,877862595;0,055793991;0;96
457;0,360714286;0,696517413;0;97
848;0,818181818;0,21978022;0;98
2038;0,418803419;0,659340659;0;99
16;0,19665272;0,849079755;0;100
